"","Study_No","No of arms","Study_year","Drug","Dose_range","No_randomised","Responders","Dropouts_total","Dropouts_sideeffects","N compimputed","Mean","SD","hayasaka_ddd","ddd","jakubovski_ddd","Dose_delivered_mean","type","logRR","selogRR","logRRdrop","selogRRdrop","logRRdropAE","selogRRdropAE","sameDrug","exc","excdrop","excdropAE","exc","excdrop","excdropAE"
"196",85,3,NA,"placebo","Licensed",89,42,21,NA,88,-15.95,13.22,0,0,0,0,"cc",0,NA,0,NA,0,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"194",85,3,NA,"citalopram","Licensed",88,48,23,NA,88,-17.94,12.91,20,20,1.2,20,"cc",0.144830947878456,0.148469746827564,0.10227133345966,0.26172068521383,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"195",85,3,NA,"citalopram","Licensed",97,50,23,NA,97,-16.04,13.53,40,40,2.4,40,"cc",0.0882787783735347,0.149212232751972,0.00489716943448369,0.263727274057724,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"199",86,3,1992,"placebo","Licensed",66,28,20,2,64,-10.56,7.76,0,0,0,0,"cc",0,NA,0,NA,0,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"197",86,3,1992,"citalopram","Licensed",70,32,19,3,68,-11.51,7.76,20,20,1.2,20,"cc",0.0746908926015892,0.19371901372105,-0.110133794410484,0.270544542562106,0.346624608085231,0.896602533955879,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"198",86,3,1992,"citalopram","Licensed",64,35,15,3,61,-13.31,9.82,40,40,2.4,40,"cc",0.253915209980963,0.183055180571868,-0.256910413785027,0.293070216015124,0.436236766774918,0.895855355613739,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"203",87,4,1999,"placebo","Licensed",129,42,41,8,124,-9.31,7.46,0,0,0,0,"cc",0,NA,0,NA,0,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"200",87,4,1999,"citalopram","Licensed",130,61,39,21,128,-9.94,7.51,20,20,1.2,20,"cc",0.365482199796033,0.1573490411654,-0.0577324666685717,0.185975869043973,0.957358849949677,0.396452773911652,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"201",87,4,1999,"citalopram","Licensed",131,80,39,21,120,-12.22,7.44,40,40,2.4,40,"cc",0.628972097551034,0.144651298088777,-0.0653953394141408,0.186133671786458,0.949695977204108,0.396526823617636,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"202",87,4,1999,"citalopram","High",129,73,50,21,110,-12.05,7.43,60,60,3.6,60,"cc",0.552789822865023,0.148338390100196,0.198450938723838,0.169959900957393,0.965080896043587,0.396377561991159,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"210",91,2,1996,"fluoxetine","Licensed",184,123,21,5,161,10.1,8.76,20,20,20,20,"cc",0,NA,0,NA,0,NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"211",91,2,1996,"citalopram","Licensed",173,120,24,11,153,9,8.66,20,20,1.2,20,"cc",0.0369515505208352,0.0724450495523431,0.195175555735729,0.279411139463353,0.850101523475477,0.528861003931644,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"212",92,2,1997,"fluoxetine","Licensed",158,109,45,12,149,11.3,9.64,20,20,20,20,"cc",0,NA,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"213",92,2,1997,"citalopram","Licensed",158,102,48,15,147,11.5,9.69,40,40,2.4,40,"cc",-0.0663750689448727,0.0794984631746532,0.0645385211375712,0.174348294248766,0.22314355131421,0.370596508553303,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
